Nombre,Descripción,Precio_Oferta,Precio_Original,Imagen_URL,Activo
BENDITO DUO,12 Empanadas Clásicas + 2 Bebidas,42000,48000,assets/combo_duo.png,Sí
BENDITA FAMILIA,24 Empanadas Variadas + Bebida 1.5L,79000,90000,assets/combo_familiar.png,Sí
BENDITO EVENTO,50 Empanadas Mixtas para reuniones,145000,165000,assets/combo_fiesta.png,Sí
